Configuration,Iteration,Success_Rate,RDP_Success,SMB_Success,Latency_Avg,Latency_P95,Latency_P99,Throughput,CPU_Usage,Memory_Usage
baseline,1,91.67,100,100,0.34500000000000003,1.5,6.0,638.82,33.51,30.07
baseline,2,91.67,100,100,0.28,1.5,4.0,958.425,0.29,30.71
baseline,3,83.33,100,100,0.21000000000000002,1.0,3.0,1283.645,0.44,31.09
baseline,4,91.67,100,100,0.285,1.5,5.0,1422.315,4.8,34.36
baseline,5,91.67,100,100,0.24,1.5,5.5,1113.0900000000001,0.31,31.19
baseline,6,83.33,100,100,0.3,2.0,4.5,1027.845,0.03,31.39
config1,1,58.33,50,50,0.22,1.0,4.0,731.34,0.34,31.06
config1,2,83.33,100,100,0.28,3.0,6.0,842.16,0.33,31.11
config1,3,41.67,50,50,0.17,1.0,2.0,631.66,0.08,31.98
config1,4,58.33,50,50,0.17,1.0,4.0,909.36,0.26,31.62
config1,5,83.33,100,100,0.28,1.0,6.0,562.14,0.33,31.53
config1,6,41.67,50,50,0.23,1.0,6.0,851.24,0.62,31.58
config2,1,66.67,100,50,0.1,1.0,3.0,1262.61,0.2,31.36
config2,2,91.67,100,100,0.06,0.0,4.0,1012.93,0.22,30.95
config2,3,58.33,100,50,0.02,0.0,1.0,1262.94,0.43,31.43
config2,4,66.67,100,50,0.01,0.0,1.0,638.84,0.31,31.34
config2,5,91.67,100,100,0.0,0.0,0.0,1263.01,0.23,31.55
config2,6,58.33,100,50,0.01,0.0,1.0,1263.41,0.29,31.44
config3,1,58.33,50,50,0.0,0.0,0.0,0.0,0.53,29.18
config3,2,58.33,50,50,0.0,0.0,0.0,0.0,0.23,30.18
config3,3,16.67,0,0,0.0,0.0,0.0,0.0,5.92,34.16
config3,4,58.33,50,50,0.0,0.0,0.0,0.0,0.35,30.84
config3,5,58.33,50,50,0.0,0.0,0.0,0.0,0.34,30.9
config3,6,16.67,0,0,0.0,0.0,0.0,0.0,0.36,30.82
